ID,Nombre,Marca,Categoria,Precio unitario,Stock,Descripcion
1,Arroz Extra Costeño,Costeño,Alimentos,3.50,100,Arroz de alta calidad para el día a día
2,Aceite Vegetal Primor,Primor,Alimentos,8.90,50,Aceite ideal para cocinar
3,Leche Evaporada Gloria,Gloria,Lácteos,4.20,200,Leche evaporada enriquecida con vitaminas
4,Detergente Bolívar,Bolívar,Limpieza,12.50,80,Detergente en polvo para ropa
5,Shampoo Sedal Brillo,Sedal,Higiene,15.00,60,Shampoo para cabello brillante y sedoso
6,Chocolate Sublime,Nestlé,Dulces,2.50,300,Chocolate con trozos de maní
7,Papel Higiénico Elite,Elite,Higiene,18.00,40,Paquete de 12 rollos de papel higiénico
8,Jugo de Naranja Tampico,Tampico,Bebidas,6.00,120,Jugo de naranja natural
9,Galletas Oreo,Mondelez,Dulces,3.00,150,Galletas rellenas de crema
10,Atún en Aceite Primor,Primor,Alimentos,7.50,70,Lata de atún en aceite
11,Cereal Froot Loops,Kellogg's,Alimentos,10.00,90,Cereal de colores con sabor a frutas
12,Refresco Coca-Cola,Coca-Cola,Bebidas,5.50,200,Refresco gaseoso clásico
13,Pan de Molde Bimbo,Bimbo,Panadería,4.80,100,Pan de molde suave y fresco
14,Yogurt Natural Laive,Laive,Lácteos,3.20,150,Yogurt natural sin azúcar añadida
15,Crema Dental Colgate,Colgate,Higiene,6.50,80,Pasta dental para protección completa
16,Jabón de Tocador Dove,Dove,Higiene,4.00,70,Jabón hidratante para la piel
17,Mayonesa Hellmann's,Hellmann's,Alimentos,7.20,60,Mayonesa cremosa y deliciosa
18,Chicles Trident,Mondelez,Dulces,1.50,300,Chicles sin azúcar con sabor a menta
19,Agua Mineral San Luis,San Luis,Bebidas,2.00,250,Agua mineral pura y refrescante
20,Helado de Vainilla D'Onofrio,D'Onofrio,Postres,12.00,50,Helado cremoso con sabor a vainilla
21,Camiseta Deportiva Nike,Nike,Ropa,25.00,50,Camiseta de algodón para actividades deportivas
22,Jeans Levi's 501,Levi's,Ropa,45.00,30,Pantalones de mezclilla clásicos
23,Zapatillas Adidas Running,Adidas,Ropa,60.00,40,Zapatillas deportivas para correr
24,Chaqueta de Cuero Zara,Zara,Ropa,120.00,20,Chaqueta de cuero genuino
25,Sombrero de Paja Unisex,Generic,Ropa,15.00,70,Sombrero ideal para el verano
